OID_,CID,random,DR_SLOPE,DR_ROAD,DR_DRA,DR_DEM,DR_ASPECT,PGA0_1,PGV0_1,DIS_FAULT0_1,PP0_1,POINT_X,POINT_Y,DR_GEO,PGV01,PGA01,DIS_FAULT01,PP01,DR_FAULT,DR_PGA,DR_PGV,DR_PP,DIS_FAULT,PGA,PGV,PP,P_PP,P_PP_V,P_PP_A,P_PGV,P_PGA,P_FAU,P_FAU_A
17,0,0.00378406,0.2045381,0.4474685,1.289903,0.837518,0.8505477,-0.839363767,-1.2049729,1.611888887,-0.958443166,337705.9607,3795792.907,0.6808639,0.2,0.359999971,0.792583173,0.323069621,0.1831135,1.0941976,0.707796,0.0335741,19.002,0.54,40,0.39934,0.0050115,0.0012719,0.0026435,0.0376517,0.1111547,0.0943193,0.200688
18,0,0.003923476,1.3505726,0.6660407,1.0484922,0.6614413,0.6707735,-1.819499672,-1.5397252,-0.251220561,0.534339711,372747.2911,3804196.45,0,0.125,0.119999971,0.337298991,0.740160791,1.3560724,1.2643212,0.707796,1.6518499,8.0877,0.42,34,0.575463,0,0,0,0,0,0,0
19,0,0.004019678,0.2045381,0.3625256,1.0484922,0.837518,0.8505477,1.610975994,0.1340364,-0.064965949,-0.246196478,354753.1894,3793806.239,0.0553545,0.5,0.959999971,0.382813643,0.522074988,1.3560724,0.9155879,1.1547459,0.5332748,9.1788,0.84,64,0.483373,0.012033,0.039053,0.0584695,0.0412492,0.0147886,0.0034878,0.0053622
20,0,0.004190445,0.2045381,0.6591374,1.0484922,0.0125011,1.0189182,-0.676007783,-0.5354682,-0.493875618,0.193934733,367039.6168,3789565.332,0.0553545,0.35,0.399999971,0.278001879,0.645049899,1.3560724,1.0941976,1.1547459,1.6518499,6.6662,0.56,52,0.535301,0.003385,0.0111622,0.0032984,0.0033918,0.001151,0.0003364,0.0002128
21,0,0.004858196,0.2045381,0.4474685,0.5590755,0.0125011,0.8505477,-0.512651799,-0.0891318,1.149674961,-1.432553849,351144.4718,3787082.204,0.0553545,0.45,0.439999971,0.679632917,0.190600672,0.1831135,1.0941976,1.1547459,0.0335741,16.2943,0.58,60,0.343403,0.000153,0.0002171,0.0000906,0.0047116,0.0023151,0.0036115,0.0065677
22,0,0.005078852,0.2045381,1.335148,0.9781319,0.0125011,1.2945342,0.63084009,0.5803728,0.039248551,-0.46755888,361138.2881,3788954.444,0.0553545,0.6,0.719999971,0.408280324,0.460225201,1.3560724,1.0628572,1.2530659,0.5332748,9.7893,0.72,72,0.457256,0.0068679,0.0070546,0.0104257,0.0051891,0.001699,0.0016956,0.0009322
23,0,0.005087554,1.3505726,0.6591374,1.289903,0.0125011,0.6437082,-1.492787704,-1.0933888,1.381865891,-1.692387897,359012.9009,3780346,1.5959048,0.225,0.199999971,0.736372932,0.11800171,0.1831135,1.2643212,0.707796,0.0335741,17.6545,0.46,42,0.312747,0.0097085,0.004412,0.0016906,0.0693317,0.0501636,0.2080039,0.1440564
24,0,0.005287945,0.2045381,0.6591374,0.5590755,0.0125011,1.2945342,-0.185939831,0.1340364,1.011644093,-1.381631258,353347.6275,3786870.548,0.0553545,0.5,0.519999971,0.645902601,0.204828704,0.1831135,0.7828309,1.1547459,0.0335741,15.4857,0.62,64,0.349411,0.0001998,0.0003212,0.0000462,0.0065417,0.0012099,0.0049372,0.0033548
25,0,0.006608903,0.2045381,0.1167302,1.289903,0.837518,0.8505477,0.63084009,1.2498773,-1.375900715,1.288414461,355498.5562,3806868.406,1.5959048,0.75,0.719999971,0.06246324,0.950853132,1.2932247,1.0628572,1.2530659,1.3733321,1.4992,0.72,84,0.664431,0.0588562,0.0423709,0.0543206,0.0652533,0.0369692,0.0113514,0.0022046
26,0,0.007812262,0.2045381,0.6591374,1.0484922,2.6639924,0.6437082,0.140772137,0.3572046,-0.731170583,0.826152942,362912.3388,3807010.5,1.5959048,0.55,0.599999971,0.220014601,0.8216949,1.3560724,0.7828309,1.1547459,1.3733321,5.2761,0.66,68,0.609892,0.5658649,0.822737,0.4585949,0.8310378,0.564882,0.1949751,0.055305
27,0,0.008092105,1.3505726,0.6660407,1.0484922,1.7059875,1.298568,-1.819499672,-1.6513093,-0.199514465,0.507912175,373100.9927,3804326.335,0,0.1,0.119999971,0.349934302,0.732776802,1.3560724,1.2643212,0.707796,1.6518499,8.3906,0.42,32,0.572345,0,0,0,0,0,0,0
28,0,0.008245587,2.8545845,0.1167302,0.5590755,0.0125011,0.6437082,0.140772137,0.1340364,0.783430555,-1.110109086,352216.3541,3789237.348,0.0553545,0.5,0.599999971,0.590134533,0.280693387,0.9397259,0.7828309,1.1547459,0.0335741,14.1488,0.66,64,0.381446,0.0006238,0.000822,0.0001319,0.0163507,0.0027456,0.0148616,0.0052723
29,0,0.008292317,0.2045381,0.1167302,0.9781319,0.837518,1.4390537,0.957552058,1.3614615,-0.95736982,0.632921712,364746.1117,3794110.539,0.0553545,0.775,0.799999971,0.164738764,0.767705106,1.2932247,1.0628572,1.2530659,1.6518499,3.951,0.76,86,0.587094,0.0121404,0.0058294,0.0062868,0.007884,0.0040218,0.0018662,0.0003411
30,0,0.008706391,0.2045381,0.3625256,0.5590755,0.0125011,0.6707735,0.794196074,0.4687887,-0.352328257,-0.012942531,364095.1478,3790121.259,0.0553545,0.575,0.759999971,0.312591513,0.587247333,1.3560724,1.0628572,1.1547459,1.6518499,7.4954,0.74,70,0.510893,0.0015178,0.0037998,0.0011683,0.0009673,0.0001445,0.0001544,0.0000708
31,0,0.008912981,0.2045381,0.3625256,0.5590755,0.837518,0.6437082,-0.512651799,0.4687887,-0.729173352,1.034140536,351709.5107,3812125.9,1.5959048,0.575,0.439999971,0.220502661,0.879807697,1.3560724,1.0941976,1.1547459,1.3733321,5.2878,0.58,70,0.634431,0.1590921,0.3719174,0.2456405,0.3201679,0.3227853,0.0278412,0.0241035
32,0,0.009418428,1.3505726,1.335148,1.0484922,1.7059875,0.6707735,1.120908042,1.3614615,-1.368645815,1.148953689,363745.101,3801541.25,1.5959048,0.775,0.839999971,0.064236104,0.911887079,1.2932247,1.0628572,1.2530659,1.3733321,1.5417,0.78,86,0.647977,0.7567605,0.7136137,0.7975417,0.8328552,0.7197053,0.451156,0.1551197
33,0,0.010005176,0.2045381,0.1167302,0.9781319,0.837518,0.6437082,-0.349295815,0.2456205,-0.756400564,1.04395551,352771.1107,3812276.193,1.5959048,0.525,0.479999971,0.213849204,0.882550051,1.3560724,0.7828309,1.1547459,1.3733321,5.1283,0.6,66,0.635589,0.0538602,0.1589584,0.0329264,0.1465401,0.0561998,0.0095558,0.0024383
34,0,0.010178864,0.2045381,0.6591374,1.289903,0.0125011,1.2945342,-0.676007783,-0.5354682,0.347846378,-0.666307855,365318.2495,3784462.242,0.0553545,0.35,0.399999971,0.483691733,0.404693721,0.9397259,1.0941976,1.1547459,0.5332748,11.5971,0.56,52,0.433807,0.0035157,0.0145429,0.0060357,0.0071321,0.0029178,0.0060298,0.0053197
35,0,0.010275602,0.2045381,0.3625256,1.289903,0.837518,1.298568,0.794196074,1.8077979,-1.399747997,1.15853134,367534.2286,3798831.888,0.0553545,0.875,0.759999971,0.056635729,0.914563124,1.2932247,1.0628572,0.7968163,1.3733321,1.3595,0.74,94,0.649107,0.0286927,0.0125674,0.0344563,0.0202727,0.0106762,0.0051275,0.0010159
36,0,0.010293424,0.2045381,0.3625256,0.9781319,0.0125011,0.6437082,-0.839363767,-0.4238842,1.161863193,-1.562326784,358078.958,3782807.314,1.5959048,0.375,0.359999971,0.68261133,0.15434145,0.1831135,1.0941976,1.1547459,0.0335741,16.3657,0.54,54,0.328092,0.0008286,0.0026382,0.0003975,0.0340593,0.0199965,0.0206131,0.0417664
37,0,0.01128304,0.2045381,1.335148,1.289903,0.837518,0.5656102,-0.349295815,-0.2007159,-0.529194176,0.883008592,356028.7589,3812585.568,1.5959048,0.425,0.479999971,0.269371156,0.837580659,1.3560724,0.7828309,1.1547459,1.3733321,6.4593,0.6,58,0.6166,0.4925004,0.7928188,0.457354,0.7506348,0.523732,0.1517423,0.051907
38,0,0.012474656,0.2045381,1.335148,1.289903,0.837518,1.0189182,0.304128121,0.803541,-0.964761283,0.990769881,359948.8087,3806943.571,1.5959048,0.65,0.639999971,0.162932528,0.867689714,1.2932247,0.7828309,1.2530659,1.3733321,3.9077,0.68,76,0.629314,0.3651688,0.3344782,0.3554882,0.4197014,0.4189704,0.1102685,0.0180393
39,0,0.01248318,1.3505726,1.335148,1.0484922,1.7059875,1.4390537,0.467484105,0.2456205,-1.092703572,0.982217801,366382.6809,3802029.249,1.3795432,0.525,0.679999971,0.131667537,0.865300219,1.2932247,0.7828309,1.1547459,1.3733321,3.1582,0.7,66,0.628305,0.4830069,0.8282108,0.3477374,0.8224446,0.560699,0.1816808,0.0208568
40,0,0.01255548,1.3505726,1.335148,0.5590755,0.837518,0.8505477,-0.022583847,-0.9818047,1.348493353,-1.038920863,341634.851,3792564.329,0.6808639,0.25,0.559999971,0.728217754,0.300583741,0.1831135,0.7828309,0.707796,0.0335741,17.459,0.64,44,0.389845,0.0447022,0.0123704,0.0118559,0.2521836,0.3184293,0.5089989,0.543143
41,0,0.012874305,0.2045381,0.1167302,0.5590755,0.837518,1.0189182,1.774331978,0.5803728,-0.209824957,-0.128264232,356520.2469,3793651.374,0.0553545,0.6,0.999999971,0.347414748,0.555025861,1.3560724,0.9155879,1.2530659,0.5332748,8.3302,0.86,72,0.497287,0.0034912,0.0022648,0.0195315,0.0045187,0.0060358,0.0009548,0.0016099
42,0,0.013421714,1.3505726,1.335148,1.0484922,1.7059875,0.6707735,1.284264026,1.5846297,-1.426582591,1.182763645,363692.9716,3801152.986,1.5959048,0.825,0.879999971,0.050078215,0.921333754,1.2932247,0.9155879,1.2530659,1.3733321,1.2023,0.8,90,0.651966,0.5542853,0.4895016,0.87804,0.6666337,0.7182912,0.2863863,0.1929433
43,0,0.013614774,0.2045381,1.335148,0.5590755,0.0125011,1.0189182,1.44762001,1.0267092,-0.223276395,-0.17655085,360604.093,3791375.757,0.0553545,0.7,0.919999971,0.344127648,0.541534333,1.3560724,0.9155879,1.2530659,0.5332748,8.2514,0.82,80,0.49159,0.0038801,0.0036477,0.0336667,0.0026541,0.0024141,0.0008797,0.0018868
44,0,0.013688385,0.2045381,0.6591374,0.5590755,0.837518,1.298568,0.957552058,1.919382,-1.518028467,1.189798557,366164.4989,3797373.3,0.0553545,0.9,0.799999971,0.027731776,0.923299344,1.2932247,1.0628572,0.7968163,1.3733321,0.6666,0.76,96,0.652796,0.0317991,0.0155657,0.0366855,0.0266488,0.0156579,0.0060238,0.0012936
45,0,0.014017642,0.2045381,1.335148,1.0484922,0.0125011,1.298568,0.140772137,0.2456205,0.808933661,-1.214327492,354354.3899,3787651.212,0.0553545,0.525,0.599999971,0.596366674,0.251574232,0.9397259,0.7828309,1.1547459,0.0335741,14.2982,0.66,66,0.36915,0.0001531,0.0002705,0.0000419,0.0059761,0.0009029,0.0050666,0.0021567
46,0,0.014221132,1.3505726,1.9570681,1.289903,0.837518,0.6437082,-1.166075736,-1.7628933,1.826173018,-1.350203001,339824.2572,3790351.589,0.6808639,0.075,0.279999971,0.844947341,0.21360992,0.166549,1.2643212,0.1274126,0.0335741,20.2573,0.5,30,0.353119,0.0667948,0.1665885,0.0201736,0.2267071,0.2443457,0.5356891,0.4437398
47,0,0.0145818,0.2045381,1.335148,1.289903,0.837518,1.298568,0.140772137,0.6919569,-0.906892789,0.974615011,359318.6586,3807838.271,1.5959048,0.625,0.599999971,0.177073731,0.863175961,1.2932247,0.7828309,1.2530659,1.3733321,4.2467,0.66,74,0.627408,0.4613272,0.415324,0.4099916,0.5217363,0.5202388,0.1588246,0.024771
48,0,0.014633179,0.2045381,1.9570681,0.5590755,0.0125011,0.8505477,0.304128121,0.3572046,0.550112981,-1.009153863,357543.6914,3787630.077,0.0553545,0.55,0.639999971,0.533119202,0.308900793,0.9397259,0.7828309,1.1547459,0.0335741,12.782,0.68,68,0.393357,0.0004918,0.0007111,0.0001765,0.0127675,0.0025528,0.0122852,0.0066995
49,0,0.014642179,0.2045381,0.4474685,0.9781319,0.0125011,0.6437082,-1.32943172,-0.8702205,1.097610387,-1.438376722,361097.7453,3781452.72,1.5959048,0.275,0.239999971,0.666910005,0.188973731,0.1831135,1.2643212,0.707796,0.0335741,15.9893,0.48,46,0.342716,0.0008154,0.0003561,0.0001513,0.0064385,0.0057947,0.0218599,0.0162705
50,0,0.014950931,0.2045381,1.335148,1.289903,0.0125011,0.8505477,-0.022583847,0.1340364,0.935049423,-1.368595482,355697.3239,3785791.719,0.0553545,0.5,0.559999971,0.627185321,0.208470967,0.1831135,0.7828309,1.1547459,0.0335741,15.037,0.64,64,0.350949,0.000125,0.0001976,0.0000367,0.0041355,0.0007749,0.0034601,0.0023973
51,0,0.015012324,1.3505726,1.335148,1.289903,1.7059875,0.6707735,0.304128121,-0.0891318,-1.002230706,0.941042377,364883.0118,3803640.546,1.3795432,0.45,0.639999971,0.153776203,0.853795595,1.2932247,0.7828309,1.1547459,1.3733321,3.6882,0.68,60,0.623447,0.5466143,0.8649469,0.4561131,0.8463167,0.6449697,0.2129894,0.0269357
52,0,0.01515758,2.8545845,1.9570681,0.9781319,0.837518,1.4390537,-0.512651799,-0.5354682,-0.26764224,0.620741991,362171.5673,3810672.967,1.5959048,0.35,0.439999971,0.333286059,0.764302029,1.3560724,1.0941976,1.1547459,1.6518499,7.9915,0.58,52,0.585657,0.9725885,0.995043,0.9748396,0.9873953,0.9864537,0.8145725,0.8227366
53,0,0.015187383,0.2045381,0.4474685,0.5590755,0.837518,1.2945342,1.284264026,-0.6470523,0.653149627,-0.636379814,346313.9586,3793879.168,0.6808639,0.325,0.879999971,0.558298053,0.413055768,0.9397259,0.9155879,0.707796,0.5332748,13.3856,0.8,50,0.437338,0.0757881,0.0531009,0.3232228,0.0325464,0.0752993,0.095091,0.293178
54,0,0.015281141,0.2045381,0.4474685,0.9781319,0.0125011,1.298568,0.140772137,0.1340364,0.817485908,-1.163133675,352705.6697,3788611.902,0.0553545,0.5,0.599999971,0.598456569,0.265878046,0.9397259,0.7828309,1.1547459,0.0335741,14.3483,0.66,64,0.37519,0.0001391,0.0002049,0.0000292,0.0051275,0.0009444,0.004377,0.0015345
55,0,0.015328944,0.2045381,0.4474685,0.9781319,0.0125011,1.0189182,-0.676007783,-0.3123,1.452810275,-1.750362351,352551.679,3784119.67,0.0553545,0.4,0.399999971,0.753709464,0.101803351,0.1831135,1.0941976,1.1547459,0.0335741,18.0701,0.56,56,0.305907,0.0000934,0.0001449,0.0000575,0.0034053,0.0015939,0.0024999,0.004573
56,0,0.015604854,0.2045381,1.335148,0.9781319,0.0125011,1.2945342,-0.512651799,-0.0891318,0.734353292,-1.183670532,359578.8635,3784982.102,0.0553545,0.45,0.439999971,0.578141624,0.260139943,0.9397259,1.0941976,1.1547459,0.0335741,13.8613,0.58,60,0.372767,0.000383,0.0006812,0.0002782,0.013321,0.0063875,0.0127298,0.015474
57,0,0.015682399,0.2045381,0.3625256,0.9781319,0.0125011,1.0189182,-0.512651799,-0.4238842,0.47928809,-0.839909139,363828.7485,3784276.87,0.0553545,0.375,0.439999971,0.515811871,0.356188634,0.9397259,1.0941976,1.1547459,0.5332748,12.3671,0.58,54,0.413325,0.0017109,0.0064513,0.0038455,0.0027926,0.0013667,0.0027102,0.0031412
