OID_,CID,random,DR_SLOPE,DR_ROAD,DR_DRA,DR_DEM,DR_ASPECT,PGA0_1,PGV0_1,DIS_FAULT0_1,PP0_1,POINT_X,POINT_Y,DR_GEO,PGV01,PGA01,DIS_FAULT01,PP01,DR_FAULT,DR_PGA,DR_PGV,DR_PP,DIS_FAULT,PGA,PGV,PP,P_PP,P_PP_V,P_PP_A,P_PGV,P_PGA,P_FAU,P_FAU_A
16,1,0.003641129,2.8545845,0.6591374,1.289903,0.837518,1.0189182,-1.32943172,-0.5354682,0.161369851,0.320690285,-118.7066264,34.38779305,1.5959048,0.35,0.239999971,0.438122852,0.680466048,0.9397259,1.2643212,1.1547459,1.6518499,10.5047,0.48,52,0.550256,0.9123762,0.9847229,0.7839781,0.9636313,0.8376708,0.9101935,0.8169771
17,1,0.00378406,1.3505726,0.6591374,1.289903,0.837518,1.4390537,-0.839363767,-0.2007159,-0.432336998,0.856869232,-118.6497963,34.43737017,1.5959048,0.425,0.359999971,0.293039943,0.830277188,1.3560724,1.0941976,1.1547459,1.3733321,7.0267,0.54,58,0.613516,0.8199489,0.9469996,0.874462,0.9365529,0.9157535,0.4429989,0.3506919
18,1,0.003923476,9.1183329,1.9570681,1.289903,2.6639924,1.2945342,-1.166075736,-0.9818047,-0.768042544,0.809820081,-118.3978964,34.34365606,1.3795432,0.25,0.279999971,0.211004277,0.817131415,1.3560724,1.2643212,0.707796,1.3733321,5.0601,0.5,44,0.607965,0.9753254,0.9732992,0.9705451,0.9635962,0.9689918,0.8499233,0.6172757
19,1,0.004019678,0.2045381,1.9570681,1.289903,0.837518,0.8505477,-0.022583847,1.8077979,-1.317605462,1.258876306,-118.6192292,34.38506756,1.5959048,0.875,0.559999971,0.076708729,0.942600021,1.2932247,0.7828309,0.7968163,1.3733321,1.8407,0.64,94,0.660946,0.483506,0.507,0.4737738,0.4975004,0.5027499,0.1436868,0.0267528
20,1,0.004190445,9.1183329,1.9570681,1.289903,2.6639924,0.6582797,-0.185939831,0.4687887,-0.409257882,0.60563812,-118.6689583,34.37011548,1.5959048,0.575,0.519999971,0.298679739,0.760081931,1.3560724,0.7828309,1.1547459,1.6518499,7.1619,0.62,70,0.583875,0.9970412,0.9996231,0.9947487,0.9988033,0.9960497,0.973403,0.9277747
21,1,0.004858196,2.8545845,1.335148,0.5590755,2.6639924,1.298568,1.120908042,1.2498773,-1.10565997,0.949602933,-118.5880824,34.34763801,1.5959048,0.75,0.839999971,0.128501409,0.856187458,1.2932247,1.0628572,1.2530659,1.3733321,3.0823,0.78,84,0.624457,0.9873704,0.9836814,0.990897,0.9899193,0.9860055,0.9381965,0.8163784
22,1,0.005078852,2.8545845,1.335148,1.289903,0.837518,0.6582797,0.304128121,-0.5354682,0.616141104,-0.317978006,-118.7090494,34.31304402,0.6808639,0.35,0.639999971,0.549254357,0.502018862,0.9397259,0.7828309,1.1547459,0.5332748,13.1688,0.68,52,0.474904,0.5768852,0.8912916,0.5611918,0.7913365,0.4395472,0.6955085,0.5505762
23,1,0.005087554,1.3505726,1.9570681,1.0484922,2.6639924,1.4390537,-0.185939831,0.0224523,-0.084340798,0.343091817,-118.685555,34.35737811,1.5959048,0.475,0.519999971,0.378079051,0.686725151,1.3560724,0.7828309,1.1547459,1.6518499,9.0653,0.62,62,0.552899,0.9690517,0.9938431,0.9307327,0.9874201,0.9544794,0.8130573,0.5887986
24,1,0.005287945,5.0127993,1.335148,0.8860558,2.6639924,1.2945342,-0.839363767,-1.2049729,1.120382237,-0.564538955,-118.7454381,34.31782266,1.5959048,0.2,0.359999971,0.672474715,0.433128472,0.1831135,1.0941976,0.707796,0.5332748,16.1227,0.54,40,0.445814,0.9864537,0.9870164,0.987445,0.9882141,0.9951068,0.9950873,0.9968526
25,1,0.006608903,2.8545845,0.6591374,1.289903,0.837518,1.298568,-1.166075736,-0.2007159,-0.246679848,0.689370523,-118.6754823,34.42008504,1.5959048,0.425,0.279999971,0.338408595,0.783477192,1.3560724,1.2643212,1.1547459,1.6518499,8.1143,0.5,58,0.593754,0.9261501,0.9873953,0.7921611,0.9713908,0.8673811,0.6139628,0.3061882
